c0,c1,c2,c3,c4,c0_lambda,c1_lambda,c2_lambda,c3_lambda,c4_lambda,c0_type,c1_type,c2_type,#c0_smfish,#c1_smfish,#c2_smfish,#nuclei,#nucs_predicted,DAPI channel,GFP channel,#channels,original filename,signal,filename,status,ellipse,cropped_image_file,cropped_mask_file,crop_offset_x,crop_offset_y,is_dapi_stack,is_valid_final,unique_id,#c0_smfish_adj,#c1_smfish_adj,#c2_smfish_adj,is_male_batch,is_male,is_z_cropped,is_too_bleached,num_z_planes,tx,tx_desc,c0_saturation,c1_saturation,c2_saturation,c3_saturation,c4_saturation,first_slice,last_slice,ellipsoid
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1706.0,-1.0,1347.0,-1.0,1.0,4.0,3.0,5.0,180815_n2_rnai.set1_dpy23.ex_dpy23.int_mdh1.ex_003 series_32,-1.0,RNAi_set1_625,1.0,R_485x470_523x506_591x506_648x466_676x387_659x324_621x262_566x212_517x163_460x165_413x214_407x309_434x377,RNAi_set1_625_cropped_3229.tif,RNAi_set1_625_cropped_3229.mask.tif,367.0,123.0,1.0,1.0,-1.0,1713.73,-1.0,1414.59,0.0,-1.0,1.0,-1.0,91.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.98,83.87,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,17.0,898.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_005 series_19,-1.0,N2_885,1.0,E_-0.44319727940142284_0.18643130312400863_-0.815199146462454_176.11237446168738_83.63565388272086_-91367.13651269679,N2_885_cropped_3912.tif,N2_885_cropped_3912.mask.tif,271.0,44.0,1.0,1.0,-1.0,203.41,901.58,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.37,81.67,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,dpy23.ex,mdh1.ex,dpy23.int,1187.0,262.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180214_n2_dpy23.ex_dpy23.int_mdh1.ex_001 series1,-1.0,N2_1646,1.0,R_457x581_412x626_417x704_478x764_529x772_601x744_652x691_707x640_741x583_731x534_692x496_646x490_614x498_576x515_525x534_491x551,N2_1646_cropped_3983.tif,N2_1646_cropped_3983.mask.tif,372.0,450.0,1.0,1.0,-1.0,1292.13,324.48,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,14.08,85.16,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1437.0,9.0,-1.0,-1.0,3.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series41,-1.0,N2_1645,1.0,E_-0.4658776016654055_-0.2404532809755947_-0.7427563119481225_374.1777418200228_498.65395508239527_-439189.7039012755,N2_1645_cropped_3982.tif,N2_1645_cropped_3982.mask.tif,330.0,313.0,1.0,1.0,-1.0,1682.8000000000006,2687.79,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,23.52,84.53,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,47.0,1379.0,-1.0,80.0,3.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series40,-1.0,N2_1644,1.0,E_-0.4269997130563113_0.2566874426238051_-0.7443906717892367_84.0718696233681_308.99377554415497_-225356.0311992323,N2_1644_cropped_3981.tif,N2_1644_cropped_3981.mask.tif,349.0,437.0,1.0,1.0,-1.0,94.12999999999998,1820.61,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,7.03,63.56,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,38.0,146.0,-1.0,-1.0,1.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series39,-1.0,N2_1643,1.0,R_640x373_617x460_610x530_640x602_703x614_767x595_824x538_856x451_871x377_867x301_846x252_793x235_733x256_693x288_667x332,N2_1643_cropped_3980.tif,N2_1643_cropped_3980.mask.tif,570.0,195.0,1.0,1.0,-1.0,59.2,158.25,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,8.32,58.97,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,-1.0,-1.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series39,-1.0,N2_1643,1.0,E_-0.851799589448422_-0.17386590452664857_-0.3918163452282466_483.184543628087_304.59746682035444_-381368.72755926475,N2_1643_cropped_3978.tif,N2_1643_cropped_3978.mask.tif,285.0,356.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,,,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,141.0,2950.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series38,-1.0,N2_1642,1.0,E_0.7635698480055423_-0.24064825421703068_0.4304820068086171_-307.89711482063836_-91.04345672515112_212889.76935299725,N2_1642_cropped_3977.tif,N2_1642_cropped_3977.mask.tif,398.0,314.0,1.0,1.0,-1.0,164.37,4286.99,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,2.38,84.77,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1468.0,403.0,-1.0,-1.0,3.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series37,-1.0,N2_1641,1.0,E_-0.3349090029751302_-0.1430839406164421_-0.8977437849837143_284.2675941039782_630.0307724886553_-540513.6293973037,N2_1641_cropped_3976.tif,N2_1641_cropped_3976.mask.tif,370.0,458.0,1.0,1.0,-1.0,1682.58,753.76,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,7.35,56.89,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,131.0,719.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series36,-1.0,N2_1640,1.0,E_-0.9348175476052261_-0.05309834067203547_-0.338878175102583_488.5865569603447_260.83539587563524_-406427.792691219,N2_1640_cropped_3975.tif,N2_1640_cropped_3975.mask.tif,335.0,475.0,1.0,1.0,-1.0,187.34,1158.41,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,3.92,64.63,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1413.0,691.0,-1.0,-1.0,3.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series35,-1.0,N2_1639,1.0,R_408x632_332x668_313x730_332x791_380x829_446x857_514x870_608x865_669x848_705x787_699x719_639x662_578x643_523x630_484x628,N2_1639_cropped_3974.tif,N2_1639_cropped_3974.mask.tif,273.0,588.0,1.0,1.0,-1.0,1511.66,821.69,-1.0,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,12.98,61.07,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,3.0,17.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series35,-1.0,N2_1639,1.0,R_290x453_265x527_299x602_368x625_430x604_474x557_513x513_549x449_574x368_564x322_530x279_481x258_426x271_383x296_360x345_322x385,N2_1639_cropped_3973.tif,N2_1639_cropped_3973.mask.tif,225.0,218.0,1.0,1.0,-1.0,31.5,256.72,-1.0,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,31.19,79.4,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,9.0,233.0,-1.0,-1.0,1.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series34,-1.0,N2_1638,1.0,E_-0.6686123646118431_0.2983522542934749_-0.443735546604243_370.6459161311221_-71.66595687667618_-222781.1339573943,N2_1638_cropped_3972.tif,N2_1638_cropped_3972.mask.tif,495.0,73.0,1.0,1.0,-1.0,8108.23,498.82000000000005,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.73,78.89,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1127.0,1961.0,-1.0,129.0,5.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series32,-1.0,N2_1636,1.0,E_-0.33675891586335066_-0.05474395126837413_-0.9352036311866225_234.48058642058294_574.9040020354435_-461108.3573028785,N2_1636_cropped_3970.tif,N2_1636_cropped_3970.mask.tif,363.0,420.0,1.0,1.0,-1.0,1223.38,2413.5,-1.0,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,11.82,56.93,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,364.0,95.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series32,-1.0,N2_1636,1.0,E_0.9266161547078758_0.03860699875631711_0.3679952451085598_-685.5188186773439_-141.50507251871443_529053.9386740571,N2_1636_cropped_3969.tif,N2_1636_cropped_3969.mask.tif,568.0,80.0,1.0,1.0,-1.0,640.71,241.93000000000004,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,19.04,56.87,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,13.0,17.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series31,-1.0,N2_1635,1.0,E_0.4871952571182674_0.2829975489853766_0.6650491188735935_-463.29075356745915_-542.6834137813828_578366.6661624024,N2_1635_cropped_3968.tif,N2_1635_cropped_3968.mask.tif,415.0,353.0,1.0,1.0,-1.0,1448.75,0.0,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,71.2,72.21,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,492.0,395.0,-1.0,114.0,4.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series31,-1.0,N2_1635,1.0,E_-0.8945764695722771_0.15243685224132666_-0.3267796878672611_586.6483068167797_129.73758395688589_-547178.0964657596,N2_1635_cropped_3967.tif,N2_1635_cropped_3967.mask.tif,620.0,516.0,1.0,1.0,-1.0,6344.96,650.47,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,13.18,47.66,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1298.0,1558.0,-1.0,-1.0,5.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series30,-1.0,N2_1634,1.0,E_0.5750617000532816_-0.222727019671078_0.6862031331650902_-288.7751228204078_2.286238861412045_151022.80428449303,N2_1634_cropped_3966.tif,N2_1634_cropped_3966.mask.tif,366.0,0.0,1.0,1.0,-1.0,1672.55,1428.04,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.96,85.24,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,1089.0,36.0,-1.0,114.0,3.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series29,-1.0,N2_1633,1.0,E_-0.43144452191810123_-0.005385050669803625_-0.9020751794745244_169.76232215579304_387.8946651799557_-216896.0443878938,N2_1633_cropped_3965.tif,N2_1633_cropped_3965.mask.tif,162.0,259.0,1.0,1.0,-1.0,1251.49,784.37,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,13.77,76.33,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,289.0,610.0,-1.0,-1.0,5.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series28,-1.0,N2_1632,1.0,E_-0.4789078817010717_-0.2852415698659313_-0.6672302661947137_447.76694577758434_543.2786572657433_-559512.0627463124,N2_1632_cropped_3964.tif,N2_1632_cropped_3964.mask.tif,373.0,354.0,1.0,1.0,-1.0,662.0,712.95,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,19.24,48.55,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,sdc2.ex,mdh1.ex,sdc2.int,434.0,12.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180219_n2_sdc2.ex_sdc2.int_mdh1.ex_006 series27,-1.0,N2_1631,1.0,E_0.7665876168783454_0.21990847343375408_0.46787228908850986_-494.18718339273534_-337.1694827873191_397717.24908718467,N2_1631_cropped_3963.tif,N2_1631_cropped_3963.mask.tif,314.0,249.0,1.0,1.0,-1.0,502.31,222.93,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,7.69,81.55,
Cy5,mCherry,GoldFISH,GFP,DAPI,670.0,610.0,566.0,507.0,461.0,dpy23.ex,mdh1.ex,dpy23.int,196.0,3007.0,-1.0,-1.0,0.0,4.0,3.0,5.0,180214_n2_dpy23.ex_dpy23.int_mdh1.ex_001 series1,-1.0,N2_1646,1.0,R_402x596_450x577_497x526_557x460_603x405_625x318_586x265_523x261_461x286_402x339_351x411_334x479_332x543_355x583,N2_1646_cropped_3984.tif,N2_1646_cropped_3984.mask.tif,292.0,221.0,1.0,1.0,-1.0,213.81,3200.03,-1.0,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.77,85.41,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1245.0,-1.0,207.0,-1.0,1.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_006 series1,-1.0,SEA-12_456,1.0,R_517x585_453x619_392x667_354x722_371x769_409x812_470x818_519x809_583x771_629x716_627x653_600x589_538x572,SEA-12_456_cropped_3986.tif,SEA-12_456_cropped_3986.mask.tif,314.0,532.0,1.0,1.0,-1.0,1331.93,-1.0,233.09,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,17.09,84.81,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,693.0,-1.0,17.0,-1.0,1.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_006 series1,-1.0,SEA-12_456,1.0,R_637x464_612x524_618x589_644x668_695x710_760x698_790x655_790x581_775x509_743x462_697x441_658x445,SEA-12_456_cropped_3987.tif,SEA-12_456_cropped_3987.mask.tif,572.0,401.0,1.0,1.0,-1.0,770.95,-1.0,25.62,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,15.06,83.96,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,379.0,-1.0,2117.0,-1.0,2.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_005 series2,-1.0,SEA-12_470,1.0,R_536x451_496x504_483x570_542x608_623x597_684x561_729x502_771x438_769x360_748x318_699x296_646x311_602x351_570x398,SEA-12_470_cropped_4006.tif,SEA-12_470_cropped_4006.mask.tif,443.0,256.0,1.0,1.0,-1.0,659.81,-1.0,2322.9300000000007,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.24,75.78,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,570.0,-1.0,325.0,-1.0,1.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_028 series1,-1.0,MK4_87,1.0,R_335x345_299x417_309x485_375x525_458x534_511x508_570x472_634x447_663x392_640x318_580x275_527x265_449x281_373x311,MK4_87_cropped_4017.tif,MK4_87_cropped_4017.mask.tif,259.0,225.0,1.0,1.0,-1.0,663.4499999999998,-1.0,367.26,0.0,-1.0,0.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,8.59,53.18,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1197.0,-1.0,1728.0,-1.0,3.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_031 series1,-1.0,MK4_82,1.0,E_0.9541528972946905_-0.05326069141582383_0.27972387024310436_-553.0407350647547_-118.499235931843_391826.38746097084,MK4_82_cropped_4014.tif,MK4_82_cropped_4014.mask.tif,470.0,316.0,1.0,1.0,-1.0,1306.1999999999996,-1.0,1896.93,0.0,-1.0,1.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.13,53.77,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,731.0,-1.0,934.0,-1.0,1.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_027 series1,-1.0,MK4_80,1.0,R_311x417_260x457_235x519_277x593_358x610_451x604_538x580_593x544_623x481_617x421_585x373_536x341_470x330_400x343_362x371,MK4_80_cropped_4012.tif,MK4_80_cropped_4012.mask.tif,195.0,290.0,1.0,1.0,-1.0,814.3700000000001,-1.0,1001.41,0.0,-1.0,1.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,6.7,53.13,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,375.0,-1.0,342.0,-1.0,1.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_029 series1,-1.0,MK4_79,1.0,E_-0.5958284975177992_-0.2612627617762525_-0.6098815284806244_419.31043523289617_558.14771197369_-567368.8491974652,MK4_79_cropped_4011.tif,MK4_79_cropped_4011.mask.tif,184.0,569.0,1.0,1.0,-1.0,429.79,-1.0,377.20000000000016,0.0,-1.0,1.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,10.72,53.06,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,391.0,-1.0,465.0,-1.0,1.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_029 series1,-1.0,MK4_79,1.0,R_489x736_478x810_478x863_514x916_586x948_644x927_686x878_707x795_678x677_644x638_591x632_544x649_514x685,MK4_79_cropped_4010.tif,MK4_79_cropped_4010.mask.tif,438.0,592.0,1.0,1.0,-1.0,424.17,-1.0,473.66,0.0,-1.0,0.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,10.84,53.43,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,909.0,-1.0,1121.0,-1.0,1.0,4.0,3.0,5.0,170727_mk4_dpy23.ex_dpy23.int_mdh1.ex_029 series1,-1.0,MK4_79,1.0,E_-0.9497515735991128_0.06458656846884277_-0.2851074343816503_732.1141237933084_25.99840904756868_-575193.7750141704,MK4_79_cropped_4009.tif,MK4_79_cropped_4009.mask.tif,647.0,44.0,1.0,1.0,-1.0,988.63,-1.0,1203.6999999999996,0.0,-1.0,0.0,-1.0,51.0,-1.0,,0.0,0.0,0.0,0.0,0.0,9.78,52.92,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1025.0,-1.0,354.0,-1.0,0.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_005 series4,-1.0,SEA-12_472,1.0,R_527x508_479x553_479x616_515x659_597x682_663x674_725x657_767x614_782x561_761x498_712x481_629x487_578x494,SEA-12_472_cropped_4008.tif,SEA-12_472_cropped_4008.mask.tif,439.0,441.0,1.0,1.0,-1.0,970.79,-1.0,438.3,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,2.66,84.62,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,645.0,-1.0,2218.0,-1.0,0.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_005 series3,-1.0,SEA-12_471,1.0,R_549x441_502x481_494x540_549x606_600x644_646x678_695x689_733x663_761x621_750x553_720x504_670x470_619x434,SEA-12_471_cropped_4007.tif,SEA-12_471_cropped_4007.mask.tif,454.0,394.0,1.0,1.0,-1.0,701.45,-1.0,2498.28,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.1,50.63,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1132.0,-1.0,2514.0,-1.0,2.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_005 series1,-1.0,SEA-12_469,1.0,R_474x447_468x525_489x597_521x680_576x712_636x722_687x712_729x661_740x604_725x538_691x483_655x426_612x387_564x379_508x394,SEA-12_469_cropped_4004.tif,SEA-12_469_cropped_4004.mask.tif,428.0,339.0,1.0,1.0,-1.0,684.29,-1.0,2323.96,0.0,-1.0,1.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,1.16,75.38,
Cy5,GoldFISH,mCherry,GFP,DAPI,670.0,566.0,610.0,507.0,461.0,dpy23.ex,dpy23.int,mdh1.ex,1308.0,-1.0,349.0,-1.0,1.0,4.0,3.0,5.0,180719_sea-12_dpy23.ex_dpy23.int_mdh1.ex_a_006 series2,-1.0,SEA-12_457,1.0,R_482x342_419x375_398x450_449x522_539x564_608x570_695x552_755x483_728x405_653x363_584x333,SEA-12_457_cropped_3989.tif,SEA-12_457_cropped_3989.mask.tif,358.0,293.0,1.0,1.0,-1.0,1711.7000000000005,-1.0,406.76,0.0,-1.0,0.0,-1.0,81.0,-1.0,,0.0,0.0,0.0,0.0,0.0,6.03,82.11,
